"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","昵称","自定义字段","1.那张图展示的内容更吸引你呢？","2.哪张图展示的内容更吸引你呢？","3.哪张图展示的内容更吸引你呢？","4.哪张图展示的内容更吸引你呢？","5.哪张图展示的内容更吸引你呢？","6.哪张图展示的内容更吸引你呢？","7.哪张图展示的内容更吸引你呢？","8.哪张图展示的内容更吸引你呢？","9.哪张图展示的内容更吸引你呢？","10.哪张图展示的内容更吸引你呢？","11.哪张图展示的内容更吸引你呢？","12.哪张图展示的内容更吸引你呢？","13.哪张图展示的内容更吸引你呢？","14.哪张图展示的内容更吸引你呢？","15.哪张图展示的内容更吸引你呢？","16.哪张图展示的内容更吸引你呢？",
"11","21-Jun-2020 16:13:59","21-Jun-2020 16:15:39","100","中国","北京市","北京市","微信","o86_0jlq3qsW1_ymBV_L05mZzP8k","风在林梢????","","2","2","2","3","2","3","3","2","2","2","3","1","3","1","1","1",
"10","21-Jun-2020 16:04:30","21-Jun-2020 16:06:09","99","中国","北京市","","微信","o86_0jj8D4LMBlE4_DZbv0hBApRg","Az","","3","2","2","3","2","3","3","1","2","2","3","1","3","1","1","1",
"9","21-Jun-2020 15:59:04","21-Jun-2020 16:00:47","103","中国","北京市","北京市","微信","o86_0jqoKEboGm3_3pzMczRyQpVk","Annie ღ","","1","2","2","3","2","2","2","2","1","3","2","1","2","2","2","1",
"8","21-Jun-2020 15:45:05","21-Jun-2020 15:48:34","209","中国","江苏省","","","19106083220218","","","2","3","2","3","2","2","3","2","1","2","1","2","2","2","3","1",
"7","21-Jun-2020 15:34:40","21-Jun-2020 15:36:47","127","中国","北京市","北京市","微信","o86_0jpDaStFGxwR1iWaec1y93NQ","灿若星辰","","2","2","2","2","2","3","2","2","2","2","2","1","1","1","1","2",
"6","21-Jun-2020 15:35:06","21-Jun-2020 15:36:34","88","中国","北京市","北京市","微信","o86_0jnBwk5qgNaEY0fICZximZew","(／ω＼）","","3","3","1","1","2","1","3","2","2","3","3","3","2","2","1","2",
"5","21-Jun-2020 15:33:25","21-Jun-2020 15:34:02","37","中国","河南省","","微信","o86_0juaq966JSD9XauaNUMwN-nI","鲸落","","1","2","2","3","1","3","2","1","2","1","2","2","1","3","1","1",
"4","21-Jun-2020 15:25:54","21-Jun-2020 15:28:50","176","中国","北京市","北京市","微信","o86_0jtB-pPCxfx4fHxiKx6f3LvI","yfPei","","2","2","1","2","2","3","2","2","3","1","3","2","3","3","1","2",
"3","21-Jun-2020 15:21:15","21-Jun-2020 15:23:19","124","中国","北京市","北京市","微信","o86_0jm5q2MQKTS1BMZO9_BHwWug","郭雨薇","","3","2","3","2","3","1","2","3","1","3","3","3","2","2","3","3",
"2","21-Jun-2020 15:21:25","21-Jun-2020 15:23:13","108","中国","上海市","上海市","微信","o86_0jliwPRIS2dD0ymKTneqlIXw","Kristie X","","2","2","1","2","2","3","3","2","2","2","3","1","3","1","2","2",
"1","21-Jun-2020 15:21:21","21-Jun-2020 15:22:51","90","中国","北京市","北京市","微信","o86_0jgqLuTah4rt_wR47z7wdrT8","8K-065","","1","3","1","2","2","1","1","2","2","2","3","1","3","1","1","2",
