"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","自定义字段","1.下列哪张图展示的内容更吸引你呢","2.下列哪张图展示的内容更吸引你呢","3.下列哪张图展示的内容更吸引你呢","4.下列哪张图展示的内容更吸引你呢","5.下列哪张图展示的内容更吸引你呢","6.下列哪张图展示的内容更吸引你呢","7.下列哪张图展示的内容更吸引你呢","8.下列哪张图展示的内容更吸引你呢","9.下列哪张图展示的内容更吸引你呢","10.下列哪张图展示的内容更吸引你呢","11.下列哪张图展示的内容更吸引你呢","12.下列哪张图展示的内容更吸引你呢","13.下列哪张图展示的内容更吸引你呢","14.下列哪张图展示的内容更吸引你呢","15.下列哪张图展示的内容更吸引你呢","16.下列哪张图展示的内容更吸引你呢","17.下列哪张图展示的内容更吸引你呢","18.下列哪张图展示的内容更吸引你呢","19.下列哪张图展示的内容更吸引你呢","20.下列哪张图展示的内容更吸引你呢","21.下列哪张图展示的内容更吸引你呢","22.下列哪张图展示的内容更吸引你呢","23.下列哪张图展示的内容更吸引你呢","24.下列哪张图展示的内容更吸引你呢","25.下列哪张图展示的内容更吸引你呢","26.下列哪张图展示的内容更吸引你呢","27.下列哪张图展示的内容更吸引你呢","28.下列哪张图展示的内容更吸引你呢","29.下列哪张图展示的内容更吸引你呢","30.下列哪张图展示的内容更吸引你呢","31.下列哪张图展示的内容更吸引你呢","32.下列哪张图展示的内容更吸引你呢",
"16","21-Jun-2020 15:37:38","21-Jun-2020 15:44:24","406","中国","北京市","北京市","","1","3","3","3","2","1","1","3","2","3","2","2","3","2","1","2","1","2","3","1","3","1","1","2","1","2","2","2","2","3","3","1",
"15","21-Jun-2020 15:31:33","21-Jun-2020 15:33:20","107","中国","北京市","北京市","","3","2","3","2","1","3","2","2","1","3","2","2","2","3","3","2","3","2","3","3","3","3","2","2","2","1","3","2","1","3","2","2",
"14","21-Jun-2020 14:57:35","21-Jun-2020 15:01:57","262","中国","内蒙古自治区","呼伦贝尔市","","2","1","1","2","1","2","1","2","2","1","1","1","2","1","1","3","3","1","2","1","2","2","2","1","2","2","1","3","1","2","2","1",
"13","21-Jun-2020 14:58:05","21-Jun-2020 14:59:54","109","印度","","","","3","1","1","1","2","2","3","1","2","1","2","1","2","1","3","3","3","1","3","1","2","3","2","1","2","1","2","1","2","1","1","2",
"12","21-Jun-2020 14:52:39","21-Jun-2020 14:57:59","320","印度","","","","2","1","1","1","1","2","2","1","1","2","1","1","1","1","1","1","2","1","3","2","1","3","3","1","2","1","2","1","2","1","1","2",
"11","21-Jun-2020 14:49:33","21-Jun-2020 14:55:00","327","中国","北京市","北京市","","2","1","3","1","2","3","2","3","2","3","2","3","1","1","1","1","1","1","1","1","3","2","2","2","1","2","1","3","3","3","1","1",
"10","21-Jun-2020 14:46:02","21-Jun-2020 14:52:33","391","印度","","","","3","1","3","1","2","2","1","1","2","1","1","1","2","2","1","3","3","1","3","1","2","3","2","1","2","1","1","1","2","1","2","2",
"9","21-Jun-2020 14:34:38","21-Jun-2020 14:45:56","678","印度","","","","3","1","3","1","2","1","2","1","2","1","1","3","1","1","3","3","2","2","3","1","3","3","3","1","2","1","1","3","2","1","1","1",
"8","21-Jun-2020 14:36:04","21-Jun-2020 14:37:54","110","中国","北京市","北京市","","1","3","3","1","1","1","1","3","2","3","3","2","3","3","3","2","2","2","3","2","3","1","1","2","1","1","2","2","2","3","3","3",
"7","21-Jun-2020 14:18:11","21-Jun-2020 14:25:55","464","中国","河北省","","","1","3","2","1","2","1","1","1","3","1","1","2","3","3","3","2","3","1","3","3","2","3","1","1","2","1","3","2","3","3","3","1",
"6","21-Jun-2020 14:23:19","21-Jun-2020 14:25:45","146","中国","北京市","北京市","","3","2","2","1","2","3","2","2","2","3","2","2","3","2","3","2","2","2","3","1","3","3","1","3","1","1","2","2","2","3","1","1",
"5","21-Jun-2020 14:20:57","21-Jun-2020 14:24:41","224","中国","北京市","北京市","","3","3","3","1","1","1","1","1","2","3","3","2","3","1","1","2","1","3","3","1","3","3","3","2","2","2","2","2","1","1","3","3",
"4","21-Jun-2020 14:16:24","21-Jun-2020 14:23:38","434","印度","","","","2","1","3","3","2","2","2","3","2","2","1","3","1","2","1","1","1","2","1","1","1","3","2","3","1","3","1","1","2","2","2","1",
"3","21-Jun-2020 14:05:40","21-Jun-2020 14:10:14","274","中国","北京市","北京市","","2","3","3","1","2","1","2","1","1","1","3","1","1","2","3","2","1","2","1","1","3","1","3","2","1","2","2","3","1","3","3","2",
"2","21-Jun-2020 14:06:46","21-Jun-2020 14:08:21","95","中国","北京市","北京市","","1","3","1","1","3","3","3","2","2","2","2","2","3","2","2","3","2","1","3","3","2","1","1","1","3","1","2","2","1","3","2","1",
"1","21-Jun-2020 13:57:38","21-Jun-2020 13:59:48","130","中国","北京市","北京市","","1","3","2","3","1","3","1","3","1","3","2","2","3","2","3","2","1","2","3","1","3","1","1","3","2","1","3","2","1","3","1","1",
